title,writtennews,autor,editor,tags,hora da publicação,hora de acesso,url
TVs conectadas à internet rastreiam atividade de seus usuários,"Atualmente, há diversos meios de se assistir TV. Há os modos convencionais, que utilizam a captação de sinal por antenas, no exemplo, mas há também uma tendência que tem se mostrado bastante popular: assistir televisão pela internet. Para isso, muitos usam computadores e celulares, mas algumas pessoas utilizam dispositivos como o Riku, Amazon Fire Stick e Chromecast. Nesta semana, dois grupos de pesquisadores publicaram artigos que medem a extensão da vigilância que os usuários enfrentam ao utilizar alguns desses métodos de conexão com a internet para ver TV. Eles também determinaram quem exatamente está se beneficiando da enorme quantidade de dados do consumidor que são coletados sem o seu consentimento. O primeiro estudo, realizado por pesquisadores de Princeton e da Universidade de Chicago, analisou especificamente os dispositivos que transformam as televisões em Smart. Para o teste, os pesquisadores usaram o Roku e o Amazon Fire TV Stick. Os resultados determinaram que em 69% dos canais do Roku e em 89% dos canais do Amazon Fire, há algum tipo de rastreador que coleta as informações de programação assistida pelo usuário. O rastreador mais comum encontrado foi o 'doubleclick.net' do Google. Ele apareceu em 975 dos 1.000 canais principais do Roku. No dispositivo da Amazon, os rastreadores da própria empresa foram os mais presentes, aparecendo em 687 de 1.000 canais. Ainda no caso da Amazon, os rastreadores doubleclick foram encontrados em 307 canais e os do Facebook em 196. O segundo estudo, realizado por pesquisadores da Universidade Northeastern e Imperial College London, examinou uma ampla gama de dispositivos de consumo conectados à nuvem. Foi constatado que as TVs eram os piores dispositivos na questão de envio de informações. O Facebook, Amazon e Doubleclick estavam novamente entre os principais destinatários dos dados do consumidor, juntamente com a Akamai e a Microsoft, que atuam como provedores de hospedagem. Talvez o mais surpreendente de todos tenha sido a Netflix. ""Quase todos os dispositivos de TV em nossos testes entraram em contato com a Netflix, mesmo que nunca tenhamos configurado nenhuma TV com uma conta do serviço"", escreveram os pesquisadores. ""Isso expõe, no mínimo, informações sobre o modelo de TV em determinado local"". De acordo com os dois estudos, as opções dos consumidores para impedir a captação de suas informações são muito limitadas. Mesmo as pessoas familiarizadas com os serviços de bloqueio de anúncios (os famosos adblock) em seus computadores e dispositivos móveis não conseguem escapar desse mecanismo. ""A ampla coleção de identificadores de alguns dispositivos, como endereços MAC e números de série, desativa uma das poucas defesas disponíveis para os usuários: redefinir seus códigos de publicidade"". Os usuários podem usar opções para limitar o rastreamento de anúncios em dispositivos Roku ou desativar anúncios baseados em interesses em dispositivos Amazon Fire, segundo o estudo. A ativação do ""limite de rastreamento de anúncios"" em um Roku reduziu o número de vazamento de códigos de publicidade a zero, mas não afetou o número de rastreadores de programação dos canais. No caso da Amazon, a mesma função impediu que 50% menos canais vazassem informações de publicidade, mas o tráfego restante, incluindo os rastreadores comuns, permaneceu praticamente o mesmo. Via: ARS Technica        ",Luiz Nogueira,Matheus Luque,"Segurança,Televisão,Streaming,Banco de Dados,Smart TV,transferência de dados,roubo de dados,armazenamento de dados,Dados,proteção de dados",2019-09-20 11:09:00,2019-09-21 18:29:38.210517,https://olhardigital.com.br/fique_seguro/noticia/tvs-conectadas-a-internet-rastreiam-atividade-de-seus-usuarios/90544
Pesquisadores reconstroem aparência de espécie humana extinta,"Usando um osso de mindinho, alguns dentes e a parte de baixo de uma mandíbula, dois arqueogeneticistas, Liran Carmel e David Gokman, da Universidade Hebraica de Jerusalém, reconstruíram a imagem dos misteriosos denisovanos - espécie humana extinta - a partir das evidências genéticas encontradas. Os denisovanos são categoriados como um grupo de hominídeos que possuem relações com os neandertais. A reconstrução só foi possível devido ao fragmento do osso de um dedo que foi encontrado na Caverna Denisova, na Sibéria, em 2010. Estima-se que o fóssil possui mais de 80 mil anos e pertenceu a uma adolescente de aproximadamente 13 anos. Além disso, uma mandíbula, encontrada no Platô Tibetano, mostrou que os denisovanos tinham uma estrutura dentária diferente dos neandertais, principalmente se tratando dos molares. Apesar de apresentar algumas diferenças dos neandertais, os denisovanos também são uma ramificação de uma espécie ancestral de mais de 800 mil anos. Por esse motivo, algumas semelhanças físicas incluindo a face alongada e a pelve larga. Para exemplificar os resultados, Carmel contratou a ilustradora científica Maayan Harel para reconstruir um crânio 3D. A partir disso, foi possível criar uma imagem final da aparência da jovem denisovana.  Como a reconstrução de DNA foi feita Os pesquisadores extraíram o DNA presente no dedo mindinho e fizeram comparações com o material genético de dois neandertais, muitos humanos modernos e chimpanzés. Com isso, foi possível realizar uma análise comparativa envolvendo dezenas de amostras. Para definir as características que diferem os denisovanos, os pesquisadores usaram um método chamado de metilação de DNA. ""A metileção de DNA se refere às modificações químicas que afetam a atividade de um gene, mas não a sequência do DNA subjacente"", explicou Carmel. A equipe então comparou os padrões de metilação entre os grupos de humanos modernos para definir as regiões no genoma que sofreram modificação. Com base nisso, eles procuraram por diferenças que podem significar as características anatômicas de cada indivíduo. ""Ao fazer isso, podemos obter uma previsão de quais partes do esqueleto foram afetados pela regulação diferencial de cada gene e em que direção essa parte esquelética mudaria – por exemplo, um fêmur mais longo ou mais curto"", disse Gokhman em um comunicado.  Ao todo, foram encontradas 56 características anatômicas atribuídas exclusivamente aos denisovanos. Para determinar a precisão de sua técnica, os pesquisadores reconstruíram um chimpanzé e um neandertal com base nas informações extraídas de suas comparações. Com esse processo, foi alcançada uma precisão de 85%, que é o mesmo nível que está sendo atribuído à reconstrução do homem denisovano. Como sinal de que o método é preciso, a mandíbula reconstruída correspondeu quase que perfeitamente à mandíbula encontrada. ""Mais uma ressalva é que os dados genéticos dos genomas fósseis e modernos sugerem que os denisovanos tinham uma história evolutiva profunda, com o desenvolvimento de uma variação genética considerável em toda a sua extensão reconstruída no leste e sudeste da Ásia"", disse Chris Stringer, um antropólogo do Museu de História Nacional de Londres, ao site Gizmodo. ""Na realidade, é provável que a anatomia deles tenha mostrado variações substanciais no espaço e no tempo."" Mesmo com todo o embasamento, Carmel reconhece que suas descobertas podem ser refutadas no futuro. Por enquanto, essa é a única representação disponível de como os denisovanos se pareciam. Via: Gizmodo                ",Luiz Nogueira,Matheus Luque,"Tecnologia,Ciência,dna,Humanos,denisovanos",2019-09-20 13:09:00,2019-09-21 18:29:38.263487,https://olhardigital.com.br/noticia/pesquisadores-reconstroem-aparencia-de-especie-humana-extinta/90551
Programador cria método que impede o Facebook de coletar dados,"Inspirados pelo escândalo Cambridge Analytica, muitos dos frequentadores do Facebook deletaram sua conta com a ideia de apagar todos os dados que a rede social pode ter armazenado. Porém, como bem sabemos, há uma grande chance da rede social possuir bancos de dados em que as informações pessoais dos usuários ficam guardadas mesmo sem seu consentimento.   Pensando nisso, um ex-administrador de sistemas chamado Kevin Matthew criou um script de programação, que faz com que todas as postagens da rede social tenham seus textos substituídos por uma série de caracteres sem sentido. O objetivo é diminuir as chances de o Facebook conseguir extrair alguma informação dessas publicações. O script é capaz de acessar e modificar as postagens substituindo seu conteúdo por textos gerados aleatoriamente. A ideia é fazer com que os usuários rodem o código diversas vezes durante vários meses. Teoricamente, isso faz com que o algoritmo da rede social não consiga armazenar nenhuma informação útil. Vale lembrar que essa tentativa de proteção de dados não interfere nas informações já coletadas em outros momentos, como o já citado Cambridge Analytica, por exemplo. ""Com o Facebook, com sua fonte infinita de recursos, só posso imaginar como os dados estão sendo armazenados e retidos"", disse Matthew ao site Vice por telefone. ""Todo pedacinho de informação contribui com um perfil invisível que eles estão construindo de você. Se conseguirmos ofuscar o mínimo que seja, isso devolve o poder das nossas mãos como usuários finais."" No futuro, Matthew disse que pode ser possível fazer scripts mais poderosos para enganar não só o Facebook, mas como outros aplicativos e sites que rastreiam o que o usuário faz em seu dispositivo.  ""Talvez meu script não tenha um impacto tão grande em escala global, mas talvez comece uma discussão sobre proteger nossa privacidade"", disse Matthew. ""Se quero que meus dados sejam apagados, eu deveria ter o direito de fazer isso."" O script criado por Matthew está disponível gratuitamente na internet para quem quiser testá-lo. Porém, vale lembrar que o uso desse método pode ir contra os termos de serviço do Facebook. Via: Vice          ",Luiz Nogueira,Matheus Luque,"Segurança,Facebook,privacidade,rede social,armazenamento de dados",2019-09-20 12:09:00,2019-09-21 18:29:38.302046,https://olhardigital.com.br/fique_seguro/noticia/programador-cria-metodo-que-impede-o-facebook-de-coletar-dados/90548
Matemáticos resolvem problema sem solução há mais de seis décadas,"Um famoso problema de matématica dizia que todos números inteiros menores que 101 poderiam ser representados pela soma de três cubos. Os únicos números que não tinham solução era o ""42"" e o ""33"", mas um grupo de matemáticos conseguiu encontra-las no início do mês. Agora, essa mesma equipe resolveu outra parte do problema.  Andrew Sutherland e Andrew Booker, da Universidade de Bristol, descobriram a equação que resolve o problema proposto em 1953 por Luis Mordell: encontrar solução para a primeira soma não trivial de três cubos cujo resultado é 3. Segundo os pesquisadores, o resultado é: 569936821221962380720³+(-569936821113563493509)³+(-472715493453327032)³= 3 Por décadas, os cientistas procuravam os números ""a"", ""b"" e ""c"" que satisfizessem a equação a³+b³+c³=n, onde ""n"" é um número inteiro. Contudo, enquanto 1 e 2 possuem infinitas soluções para o problema, o 3 possuia apenas duas soluções triviais: 1³+1³+1³ e 4³+4³+(-5)³. Sutherland e Booker conseguiram realizar o feito utilizando a Charity Engine, que permite que cientistas façam cálculos extremamente complexos - este, por exemplo, levou aproximadamente 4 milhões de horas computacionais, de acordo com um comunicado enviado à imprensa. ""Para os teóricos dos números computacionais como eu, ter acesso a este tipo de poder é como dar a um astrônomo um novo telescópio que é 100 vezes mais poderoso do que qualquer outro que existia antes"", disse Sutherland ao Gizmodo. ""Não há como dizer o que você verá quando apontar para o que parecia ser uma mancha escura do céu"". Via: Gizmodo",Clara Guimarães,Rafael Rigues,"Computadores,Matemática,Supercomputadores,Pesquisa,MIT,Ciência,universidades,calculadora,descoberta,contas",2019-09-20 11:09:00,2019-09-21 18:29:38.324557,https://olhardigital.com.br/noticia/matematicos-resolvem-problema-sem-solucao-ha-mais-de-seis-decadas/90545
29 aplicativos e jogos para Android de graça por tempo limitado,"Os aplicativos permitem que os smartphones façam as tarefas mais inusitadas. Quando é possível obtê-los de graça, é melhor ainda. De tempos em tempos, os desenvolvedores distribuem suas criações gratuitamente para atrair novos usuários, já que muitos têm receio de experimentar conteúdo pago. A lista a seguir contém apps e games que estavam disponíveis gratuitamente na Play Store e foram verificados pelo Olhar Digital. Esses programas estão gratuitos por tempo limitado, mas depois de instalados ficam vinculados à conta do Google para sempre. Ou seja, eles podem ser baixados a qualquer momento sem que seja preciso pagar. Vale observar, ainda, que as promoções podem ser encerradas a qualquer momento. Então, ao abrir um app da lista na loja de aplicativos e o botão de aquisição não mostrar a palavra ""Instalar"", mas o preço original do app, significa que ele voltou a ser pago: se você baixá-lo, será cobrado por isso.",Daniel Junqueira,,"Aplicativos,Android,Dicas&Tutoriais",2019-09-20 12:00:00,2019-09-21 18:29:38.372873,https://olhardigital.com.br/dicas_e_tutoriais/noticia/29-aplicativos-e-jogos-para-android-de-graca-por-tempo-limitado/90547
Sega e Sports Interactive criam embalagem 'verde' para games,"Preocupadas com o uso de plástico, especialmente plásticos não recicláveis, na produção de embalagens para seus games, a Sports Interactive e a Sega, desenvolvedora e distribuidora da franquia Football Manager, desenvolveram uma nova embalagem 'verde' para a próxima versão do jogo, totalmente composta por materiais reciclados ou recicláveis. Apresentada por Miles Jacobson, diretor do estúdio da Sports Interactive, a embalagem de Footbal Manager 2020 é inteiramente feita com papelão reciclado. A impressão é feita com tinta de origem vegetal, à base de soja, e até mesmo o plástico usado para lacrar a embalagem é um filme de polietileno, altamente reciclável. Nem mesmo o disco do jogo escapou: a embalagem irá conter endereços de locais que podem fazer a reciclagem do material. Segundo Jacobson, a nova embalagem é 20 centavos de libra (ou 30%) mais cara que as tradicionais caixas plásticas, mas o estúdio 'não se importa'. Em uma tiragem de 350 mil cópias físicas do jogo, isso significaria uma economia de 20 toneladas de plástico. E o custo extra na produção poderia ser compensado no processo de descarte de cópias não vendidas, que é mais simples. 'Imagine o que aconteceria se todos os outros jogos, todos os estúdios de cinema, todas as gravadoras usasswem esse tipo de embalagem.... Então estou lançando aqui um desafio para TODAS as empresas de entretenimento que usam plástico na embalagem de seus Blu-Rays, CDs e DVDs', diz o executivo.  A Nintendo é uma empresa que poderia adotar a idéia. Um artigo recente publicado pelo site Ars Technica aponta que os minúsculos cartuchos para o Switch ocupam apenas 1% do volume de suas embalagens plásticas. E muitos não contém manuais, mapas ou quaisquer outros materiais que justifiquem o tamanho da caixa. Fonte: Ars Technica",Rafael Rigues,,"reciclagem,Videogame,game,sega,videogames,meio ambiente",2019-09-20 10:24:00,2019-09-21 18:29:38.396805,https://olhardigital.com.br/games-e-consoles/noticia/sega-e-sports-interactive-criam-embalagem-verde-para-games/90538
Atualização do Android em aparelhos da Samsung parece estar mais ágil,"Parece que a Samsung está mais ágil na atualização do Android em seus aparelhos. Segundo o site SamMobile, o Android 10 beta com a One UI 2.0 deve ser lançado ainda neste mês para as famílias Galaxy S10 e Galaxy Note 10. Há até pouco tempo, os updates demoravam meses — o tempo máximo foi de um ano — em razão da personalização feita pela marca e dos atrasos das operadoras. Desta vez, entretanto, a companhia já testa a One UI 2.0 em modelos como os Galaxy S10e, S10 e S10+, bem como os Galaxy Note 10 e 10+. Algumas semanas atrás, um vídeo da nova interface foi divulgado. Nele, é possível ver as novas funções de gestos e de privacidade, além da integração com o app Your Phone, da Microsoft (atualmente exclusivo do Note 10). Outras novidades devem aparecer em breve, como o Live Focus Video, do Note 10, que pode ser levado ao S10 com a One UI 2.0. Tomara que a Samsung mantenha essa característica daqui para a frente. E, mais ainda, que ela chegue a todos os dispositivos da companhia, inclusive os modelos das linhas Galaxy M e Galaxy A. Via: XDA Developers",Roseli Andrion,,"Android,Samsung,interface",2019-09-18 17:29:00,2019-09-21 18:29:38.453570,https://olhardigital.com.br/noticia/atualizacao-do-android-em-aparelhos-da-samsung-parece-estar-mais-agil/90461
Os melhores aplicativos e jogos da semana para Android,"A Google Play recebe novos aplicativos e jogos todos os dias de desenvolvedores de diversas partes do mundo. Com tantas opções diferentes, pode ser que você encontre dificuldade em saber o que irá baixar e manter instalado no smartphone com Android. Para lhe ajudar, o Olhar Digital elaborou uma lista apenas com as principais e melhores novidades que entraram na Google Play. A seleção a seguir conta com 7 opções entre aplicativos e jogos. Confira: A lista de programas da semana traz apenas um aplicativo novo, mas conta com programas importantes e populares, que receberam atualizações importantes. Veja: O programa para controle parental do Android acaba de ganhar novas opções para que os pais controlem melhor o uso de aparelhos de seus filhos com o sistema do Google. Agora, graças a última atualização será possível definir limites de tempo por aplicativo para controlar por quanto tempo cada programa ou jogo poderá ficar em execução.  Ao utilizar o celular é bem comum que você receba notificações de diferentes aplicativos e que algumas delas não sejam lidas. Para ajudar nestes casos, o aplicativo Unnotification lhe ajuda a recuperar notificações que tenham sido dispensadas por engano.  Desenvolvido pela Xiaomi com o a Tencent, este aplicativo pode ser rodado em qualquer aparelho Android para eliminar arquivos desnecessários dos telefones liberando espaço neles. Caso queira saber mais sobre como utilizá-lo, veja este tutorial do Olhar Digital de como usar o Cleaner Lite para liberar espaço no Android.  Para a seleção de games, a nossa lista traz um jogo que retornou a Google Play e ótimas opções para quem quer algo que lhe prenda a tela do celular. Confira: Sequência do jogo indie de mesmo nome, aqui você precisa departamento de polícia para conseguir manter a ordem na cidade. Além dos combates táticos, é claro, você também precisará desvendar os mistérios de cada caso para não prender nenhum inocente.  Baseado no anime de mesmo nome, aqui você poderá encontrar os personagens mais clássicos da história do Capitão Tsubasa para levar o seu time ao estrelato.  Com gráficos da geração 8 bits, você deve ajudar um pequeno menino a se aventurar dentro de um poço a caçar diversos tesouros. A tarefa não será fácil, uma vez que estes poços estão repletos de armadilhas, que ficam mais letais a medida, que você progride. Para comemorar o retorno a Google Play deste game, ele estará de graça durante uma semana, contando a partir do dia 20 de setembro de 2019.  Um dos jogos mais populares da Google Play acaba de receber uma grande atualização para agraciar os seus fãs. Agora, os bichinhos da quinta geração e da região de Unova finalmente chegam ao jogo. Não perca tempo e vá correr atrás de capturá-los. ",Alvaro Scola,,"Aplicativos,Android,Dicas,Google Play,Jogos mobile,Dicas&Tutoriais",2019-09-20 10:52:00,2019-09-21 18:29:38.590153,https://olhardigital.com.br/dicas_e_tutoriais/noticia/os-melhores-aplicativos-e-jogos-da-semana-para-android/90540
Facebook lança Portal que permite chamadas de vídeo pela televisão,"O Facebook anunciou nessa quarta-feira (18), o lançamento do Portal TV, dispositivo conectado que permite realizar videochamadas a partir da televisão. Para utilizá-lo, basta conectá-lo a uma porta HDMI da sua televisão, acessar a conta do Facebook e fazer videochamadas por meio do Messenger e até do Whatsapp. O dispositivo, que lembra uma versão mini do Kinect, da Microsoft, é bastante intuitivo. Quando o usuário quiser fazer uma videochamada basta dizer ""Hey Portal"", para que o acessório seja ativado.  A câmera e o microfone podem ser desativados com o deslizar de uma pequena tampa localizada em frente ao dispositivo. Além disso, a ferramenta também é integrada ao Alexa, assistente virtual da Amazon. O Portal TV começa a ser vendido no dia 05 de novembro e custará US$ 149, aproximadamente 610 reais.  Via: The Verge  ",Matheus Luque,,"Microsoft,Amazon,Facebook,Kinect,Whatsapp,facebook messenger",2019-09-18 16:09:00,2019-09-21 18:29:39.363904,https://olhardigital.com.br/games-e-consoles/noticia/facebook-lanca-portal-que-permite-chamadas-de-video-pela-televisao/90460
Instagram vai apagar contas de usuários com menos de 13 anos,"O Instagram começou a seguir com mais rigor seus termos de uso. O funkeiro mirim Nego Ney foi comunicado que sua conta seria deletada e ""sem chances de ser mantida, ainda que um adulto tenha dado permissão para se inscrever na rede social"" por conta de sua idade. Além do xodó do Flamengo, as contas dos filhos de Karina Bacchi e Mayra Cardi, ambos com menos de 3 anos, e de todos que utilizam a plataforma e não possuem a idade adequada, serão apagadas.  Os termos de uso da rede social indicam que a idade mínima para ter acesso ao seu serviço é de 13 anos. Ainda assim, o garoto de apenas 8 anos criou a conta no dia 17 de março, mas, somente agora, o Instagram decidiu agir e notificá-lo da impossibilidade de seguir usando os serviços da rede social. As contas de Enrico Bacchi e Sophia Cardi, que possuem 2,3 milhões e 652 mil seguidores, respectivamente, e são administrados pelas mães das crianças, também foram apagadas. Procurado pelo Olhar Digital, o Instagram comunicou que seus termos de uso sempre foram claros e qualquer conta utilizada por menores da idade estabelecida será removida.  ""Queremos que nosso Serviço seja o mais aberto e inclusivo possível, mas também desejamos que ele seja seguro e esteja em conformidade com a lei. Por isso, precisamos que você se comprometa em relação a algumas restrições para fazer parte da comunidade do Instagram"".    Fonte: Uol   ",Fabrício Filho,Matheus Luque,"plataforma de serviços,termos de uso,rede social,instagram,e-mail",2019-09-18 17:09:00,2019-09-21 18:29:39.384800,https://olhardigital.com.br/noticia/instagram-vai-apagar-contas-de-usuarios-com-menos-de-13-anos/90464
"Apple diz que multa de US$ 14 bilhões ""desafia o bom senso""","A Apple já está no segundo mais alto tribunal da Europa apelando contra o pagamento de US$ 14 bilhões em impostos atrasados na Irlanda. Neste caso de 2016, a Comissão Europeia alega que a empresa se beneficiou de auxílios fiscais ilegais para duas filiais irlandesas durante duas décadas. Na úlitma terça-feira (17), o vice-presidente financeiro da Apple, Luca Maestri, levou uma delegação de seis membros ao Tribunal Geral, onde cinco juízes ouviram seus argumentos durante dois dias. ""A Comissão alega que essencialmente todos os lucros da Apple com todas as suas vendas fora das Américas devem ser atribuídos a duas filiais na Irlanda"", afirmou o advogado da Apple, Daniel Beard, ao tribunal. Beard disse que o iPhone, o iPad, a App Store e seus principais direitos de propriedade intelectual foram desenvolvidos nos Estados Unidos, e não na Irlanda. ""As atividades das filiais não envolveram a criação, desenvolvimento ou gerenciamento desses direitos. Com base nos fatos deste caso, a linha principal desafia a realidade e o bom senso"", continuou Beard. A União Europeia também é acusada pela Irlanda de tentar combater os auxílios estatais e interferir em leis nacionais, tentando efetivamente mudar o sistema tributário internacional e criar incerteza jurídica para as empresas. Com taxa tributária global média de 26%, a Apple diz ser a maior contribuinte do mundo – agora mesmo, a gigante alega estar pagando cerca de 20 bilhões de euros em impostos nos EUA referentes aos lucros que, segundo a UE, deveriam ter sido tributados na Irlanda. Para o advogado irlândes, Paul Gallagher, as críticas ao país são totalmente injustificadas e a confusão se deve a uma incompatibilidade com o sistema tributário norte-americano. ""A decisão da Comissão é fundamentalmente falha"", disse ao tribunal. Espera-se que uma decisão seja tomada nos próximos meses. A parte derrotada ainda poderá recorrer ao Tribunal de Justiça da UE e um julgamento final pode levar vários anos. Fonte: Reuters",Henrique  Freitas,Matheus Luque,"Apple,Europa,união europeia,multa,Irlanda,pagamento,auxílio fiscal,sistema tributário",2019-09-18 16:09:00,2019-09-21 18:29:39.428029,https://olhardigital.com.br/noticia/apple-diz-que-multa-de-us-14-bilhoes-desafia-o-bom-senso/90463
Nova linha de produtos da Huawei vaza antes do evento,"A Huawei realizará amanhã (19) um evento em Berlim para apresentar vários novos produtos, mas não precisamos esperar até lá para conhecê-los. Todos os produtos que serão anunciados vazaram, cortesia do site Android Headlines, um dia antes do lançamento. A estrela do evento serão, sem dúvida, os novos smartphones da família Mate, o Mate 30 e Mate 30 Pro. Este terá um novo tipo de tela, apelidado de “cascata”, que se curva e cobre as laterais do smartphone, resultando em bordas muito finas. Com tecnologia OLED, ela tem 6,7” e um notch considerável no topo, que abriga um conjunto de sensores para um novo sistema de reconhecimento facial desenvolvido pela Huawei. O aparelho terá sete câmeras: quatro atrás, arranjadas dentro de um círculo (que lembra o Nokia Lumia 920), e três na frente. Duas das câmeras traseiras (wide e ultrawide) terão sensores de 40 MP. Uma terceira (com zoom óptico de 3x) tem sensor de 8 MP e a quarta câmera é um sensor ToF para detecção de profundidade. O Mate 30 Pro será compatível com 5G e baseado no processador Kirin 990, que tem um modem 5G integrado. Quanto à memória, haverá versões com 6 GB de RAM e 128 GB de memória interna e 8 GB de RAM e 256 ou 512 GB de memória interna. A Huawei também irá apostar nos smartwatches. Serão apresentados 4 modelos do Huawei Watch GT2, dois com caixa de 42 mm e tela AMOLED circular de 1.2 polegadas e dois com caixa de 46 mm (como o modelo atual), com tela AMOLED também circular de 1,39 polegadas. De acordo com os rumores, o modelo menor (42 mm) não tem microfone, o que indica que também não tem suporte a LTE para conexões de dados ou chamadas telefônicas. Ambos os modelos serão baseados em um processador da própria Huawei, o A1. Os relógios tem certificação de resistência a àgua a uma profundidade de até 50 metros. Assim como no Watch GT original, os novos smart watches devem rodar um sistema operacional próprio, e não o Wear OS da Google.  A empresa também tem uma pulseira fitness, que por enquanto é conhecida apenas pelo codinome Andes. Com uma face retangular e tela OLED colorida, ela lembra a Mi Band 4 da Xiaomi. Na traseira, o acessório também tem um sensor de batimentos cardíacos e um oxímetro, capaz de medir o consumo de oxigênio e, com isso, a queima de calorias. Além destes produtos, a empresa também deve lançar uma TV com o sistema operacional Harmony OS e um tablet, que pode ser uma versão global do MediaPad M6, que já foi apresentado na China em Junho.  A grande curiosidade é sobre como alguns dos novos produtos (Mate 30 e 30 Pro, MediaPad) serão afetados pelas sanções impostas pelo governo americano, que restringem o acesso da Huawei ao sistema operacional Android e serviços do Google. Fonte: Android Headlines",Rafael Rigues,,"Smart TV,Huawei,Smartwatch,smartphone,wearable,Mi Band,Mate 30 Pro",2019-09-18 15:39:00,2019-09-21 18:29:39.581335,https://olhardigital.com.br/noticia/nova-linha-de-produtos-da-huawei-vaza-antes-do-evento/90458
"Apple finalmente coloca bateria grande, de 4.000 mAh, em um iPhone","O iPhone 11 pode não trazer muita diferença em relação ao modelo do ano anterior por fora, mas ele marca uma mudança importante na estratégia da Apple. A empresa finalmente decidiu colocar uma bateria de respeito dentro dos seus dispositivos, chegando a quase 4.000 mAh no modelo Pro Max. A Apple não fala abertamente sobre quantidade de bateria ou de memória RAM que inclui em seus iPhones, o que significa que a única forma de descobrir isso é por meio da desmontagem dos aparelhos ou pelos documentos de homologação com agências reguladoras. Este último caso foi o que aconteceu na China, onde a TEENA (órgão equivalente a Anatel no país) revelou as informações pendentes sobre o aparelho, como notou o site MacRumors. Os documentos mostram as seguintes especificações: Em relação à bateria, os maiores ganhos estão nos aparelhos “Pro”, principalmente o Max, que ganhou quase 1.000 mAh a mais em relação ao seu predecessor, o iPhone XS Max. Veja como eram as especificações dos modelos de 2018: Quando apresentou seus novos celulares, a Apple havia se limitado a falar em horas extras de uso, o que não diz muita coisa, já que os ganhos poderiam ser atribuídos a melhorias no processador em termos de eficiência, por exemplo, que já foi um argumento apresentado pela companhia no passado enquanto a capacidade da bateria diminuía. No momento do anúncio, a empresa apontava que o iPhone 11 conseguia até uma hora a mais de uso do que o XR, enquanto o os modelos Pro conseguiam até cinco horas a mais de uso do que os aparelhos XS. Agora sabemos de onde vem essa autonomia ampliada. A ampliação da bateria mostra uma mudança de visão da Apple sobre o iPhone. Por anos, a empresa ficou marcada por valorizar forma sobre função, o que fazia com que seus celulares ficassem mais finos às custas de uma bateria menor. Nos últimos anos, a empresa começou a fazer seus iPhones mais grossos, mas a bateria ainda não havia acompanhado a tendência.",Renato  Santino,,"iPhone,Apple,Bateria,iphone 11",2019-09-18 15:00:00,2019-09-21 18:29:39.669630,https://olhardigital.com.br/noticia/apple-finalmente-coloca-bateria-grande-de-4-000-mah-em-um-iphone/90457
